countries,n_edits_million,n_users,bing_n_edits_million,bing_n_edits_proportion,bing_n_users,bing_n_users_proportion,esri_n_edits_million,esri_n_users,maxar_n_edits_million,maxar_n_users,mapbox_n_edits_million,mapbox_n_users,mapillary_n_edits_million,mapillary_n_users
[SEN],1.99925,3526,0.897452,0.44889433537576595,636,0.18037436188315373,0.167016,285,0.391345,521,0.022943,61,0.000774,42
[SGP],0.855715,2419,0.045841,0.053570406034719506,313,0.12939231087226127,0.134167,233,0.077904,205,0.004756,81,0.004454,104
[SGS],0.004599,120,0.000661,0.1437268971515547,25,0.20833333333333334,0.00033,8,0.000974,18,2.8e-05,3,1.2e-05,1
[SHN],0.015106,233,0.002776,0.18376803918972592,44,0.1888412017167382,0.000545,16,0.000533,13,3.3e-05,4,,
[SJM],0.014914,314,0.000867,0.05813329757275044,43,0.13694267515923567,0.000712,24,0.000382,20,0.000362,7,4e-06,1
[SLB],0.141855,612,0.047652,0.3359204821825103,108,0.17647058823529413,0.034984,56,0.033903,52,0.041317,19,4.7e-05,1
[SLE],0.501033,1650,0.164607,0.3285352461813893,323,0.19575757575757577,0.015693,171,0.209645,341,0.014942,29,0.044048,41
[SLV],0.860772,6904,0.074729,0.08681625331679005,298,0.04316338354577057,0.043161,187,0.134178,332,0.008751,56,0.004103,53
[SMR],0.055148,284,0.001225,0.022212954232247766,33,0.11619718309859155,0.00073,10,0.00017,12,4.4e-05,3,0.000107,5
[SOM],3.645283,5026,0.616225,0.16904723172384695,608,0.12097095105451651,0.369147,440,1.117397,622,0.29458,197,0.000366,16
[SPM],0.033871,149,0.002272,0.06707803135425586,20,0.1342281879194631,4e-05,5,0.000554,13,7.1e-05,5,1.7e-05,1
[SRB],7.56313,4038,0.605814,0.08010096348998363,511,0.12654779593858345,0.535454,291,0.646627,377,0.090705,76,0.331252,140
[SSD],2.157234,6728,0.169554,0.07859787116279458,538,0.07996432818073722,0.098178,304,0.627755,687,0.013535,61,0.000686,13
[STP],0.021913,196,0.005347,0.2440104047825492,34,0.17346938775510204,0.001768,14,0.008377,36,6e-05,3,0.000395,4
[SUR],0.529957,2492,0.023747,0.044809295848531105,162,0.06500802568218299,0.021938,98,0.032133,181,0.001228,38,0.004544,36
[SVK],6.834502,5262,0.561037,0.08208893639946262,503,0.09559103002660585,0.027233,188,0.062208,135,0.005839,47,0.046846,93
[SVN],2.858008,3798,0.127664,0.0446688742648726,371,0.09768299104791996,0.023347,130,0.017113,64,0.001685,30,0.026462,46
[SWE],11.865944,11483,1.77136,0.14928100115759857,1759,0.15318296612383522,1.088833,543,0.62612,377,0.458925,259,0.094973,225
[SWZ],0.164812,574,0.023658,0.1435453729097396,152,0.26480836236933797,0.005077,98,0.035804,181,0.001349,39,0.000359,5
[SXM],0.007344,245,0.000798,0.10866013071895425,38,0.15510204081632653,0.000328,23,0.000866,28,9e-05,9,0.000383,17
[SYC],0.014801,463,0.001811,0.1223565975271941,63,0.13606911447084233,0.000205,18,0.001572,57,0.000297,5,2e-06,1
[SYR],2.021489,7877,0.137039,0.06779111832911285,386,0.04900342770090136,0.085976,218,0.699155,752,0.009527,45,0.000745,18
[TCA],0.004618,188,0.000637,0.13793850151580772,42,0.22340425531914893,0.000282,20,0.001173,33,0.000286,5,0.000116,5
[TCD],2.104,6406,0.493765,0.2346791825095057,515,0.0803933812051202,0.035195,226,0.444988,409,0.002551,48,0.001382,7
[TGO],1.404994,2779,0.580212,0.41296404112757773,423,0.15221302626844188,0.063098,193,0.531125,364,0.003159,46,0.00054,22
[THA],5.672762,9431,1.664488,0.29341756273222813,1158,0.12278655497826317,1.363166,606,2.591843,703,0.82839,310,0.10581,116
[TJK],0.798441,4048,0.056644,0.07094325065972314,297,0.07336956521739131,0.035911,171,0.208257,445,0.018348,40,0.000449,23
[TKL],0.001782,46,0.000197,0.11054994388327721,9,0.1956521739130435,5.6e-05,4,0.000832,9,0.000119,1,,
[TKM],0.774165,1314,0.176416,0.2278790697073621,163,0.12404870624048706,0.342238,139,0.026051,195,0.13324,25,0.024255,26
[TLS],0.690991,1534,0.110177,0.15944780756912896,208,0.13559322033898305,0.018811,111,0.200575,235,0.003563,21,0.000423,13
[TON],0.048012,325,0.010542,0.21957010747313171,84,0.25846153846153846,0.000733,36,0.001143,31,5.1e-05,5,0.000135,3
[TTO],0.194651,1292,0.010544,0.05416874303240158,173,0.13390092879256965,0.012218,125,0.03157,131,0.000873,27,0.003449,39
[TUN],1.127414,2170,0.24414,0.21654866801370218,326,0.15023041474654378,0.072197,225,0.112209,300,0.004699,51,0.003439,65
[TUR],11.668496,21443,1.396474,0.1196790057604682,1556,0.07256447325467519,0.681526,452,1.86407,1001,0.056699,188,0.05098,237
[TUV],0.002165,86,0.000545,0.2517321016166282,19,0.22093023255813954,0.000292,9,0.001147,16,8e-06,3,5e-06,1
[TWN],16.193248,6569,3.915988,0.2418284460288634,493,0.07504947480590653,3.939821,183,8.497575,140,0.015816,70,0.092351,63
[TZA],15.591233,13822,1.201586,0.07706805484851648,1253,0.09065258283895239,1.173731,810,6.5788,1203,0.032657,183,0.005148,98
[UGA],11.505037,9149,1.378095,0.11978188336117478,844,0.09225051918242431,0.389869,574,3.827493,865,0.071755,156,0.105731,78
[UKR],26.158861,16655,1.694606,0.06478133738315288,1259,0.07559291504052837,1.033008,539,2.64745,681,0.199411,279,0.055842,224
[UMI],0.003551,135,0.000862,0.24274852154322726,31,0.22962962962962963,0.00025,12,0.000294,12,3.8e-05,5,3e-06,1
[URY],0.851648,1426,0.038065,0.04469569587435185,215,0.15077138849929875,0.05345,135,0.071667,172,0.007577,36,0.003814,62
[USA],225.971989,119030,55.313488,0.24478028557778458,12856,0.10800638494497186,19.721447,2476,4.214061,1438,6.487154,1431,6.819812,2931
[UZB],4.019234,4342,0.657866,0.16367944737728632,461,0.10617227084292953,0.158269,335,0.349542,509,0.023044,95,0.002026,32
[VAT],0.003841,226,0.000562,0.14631606352512366,29,0.12831858407079647,1.9e-05,3,7e-06,4,,,1.9e-05,2
[VCT],0.124773,672,0.054796,0.4391655245926603,128,0.19047619047619047,0.003722,34,0.00144,35,0.000344,7,0.00025,6
