month,n_edits_million,n_users,bing_n_edits_million,bing_n_users,esri_n_edits_million,esri_n_users,maxar_n_edits_million,maxar_n_users,mapbox_n_edits_million,mapbox_n_users,mapillary_n_edits_million,mapillary_n_users
2023-07-01 00:00:00+00,24.018664,47836,4.036704,4093,2.122285,1709,1.146141,594,0.214518,551,0.396948,914
2023-08-01 00:00:00+00,31.78015,49031,5.221758,4388,2.419882,1823,1.51995,312,0.405413,629,0.365074,923
2023-09-01 00:00:00+00,23.17023,51030,4.761091,4256,2.208042,1977,1.382996,271,0.510309,542,0.326251,871
2023-06-01 00:00:00+00,18.753217,47535,3.189665,3861,1.158437,1453,2.1603,1681,0.206476,466,0.331549,911
2024-07-01 00:00:00+00,22.132326,46872,7.413825,6599,3.806522,1602,0.160775,254,0.16623,422,0.333519,958
2024-08-01 00:00:00+00,19.917995,47995,5.476589,6943,1.948058,1780,0.109577,262,0.205278,435,0.373472,934
2024-09-01 00:00:00+00,20.536623,47510,5.129126,6712,2.384584,1765,0.105166,275,0.153567,395,0.362065,925
2024-10-01 00:00:00+00,22.363479,47659,5.833259,6756,3.45778,1712,0.072041,245,0.189402,362,0.338554,930
2024-11-01 00:00:00+00,21.748789,46433,5.376423,6618,2.493649,1826,0.13014,221,0.230276,439,0.31511,864
2024-12-01 00:00:00+00,23.141742,39852,4.743201,6300,2.404789,1672,0.094431,242,0.179708,384,0.308259,827
2025-01-01 00:00:00+00,23.12704,43957,5.49604,7065,2.557524,1793,0.100454,270,0.235977,482,0.305019,931
2025-02-01 00:00:00+00,18.933254,43473,3.910056,6592,2.291861,1882,0.113395,264,0.336486,614,0.253106,922
2025-03-01 00:00:00+00,22.36355,49531,5.321579,6800,3.221763,2040,0.062365,254,0.395348,674,0.324704,974
2025-04-01 00:00:00+00,21.561513,50387,4.925513,6666,2.94102,2097,0.084149,268,0.410648,651,0.340961,1017
2025-05-01 00:00:00+00,22.192843,50855,4.723454,7444,3.336423,2035,0.119207,253,0.688256,639,0.370441,1008
2025-06-01 00:00:00+00,11.706656,32143,2.262617,4502,1.527082,1560,0.037685,215,0.704549,426,0.187335,690
